textId,length,NrOfConnectivesPerNrOfToken,NrOfFiniteVerbPerNrOfToken,avgNumCharsPerToken,NrOfDiscourseReferentPerNrOfToken,avgNumCharsPerSentence,FN_AnnotationRatio_de_tudarmstadt_ukp_dkpro_core_api_syntax_type_chunk_NC_null_PER_de_tudarmstadt_ukp_dkpro_core_api_segmentation_type_Sentence_null,standardDevCharsPerToken,NrOfParagraphs,standardDevCharsPerSentence,NrOfChars,FN_AnnotationRatio_de_tudarmstadt_ukp_dkpro_core_api_segmentation_type_Token_null_PER_de_tudarmstadt_ukp_dkpro_core_api_segmentation_type_Sentence_null,LexicalDensity,READABILITY_MEASURE_LIX,READABILITY_MEASURE_ARI,READABILITY_MEASURE_SMOG,READABILITY_MEASURE_COLEMAN_LIAU,LexicalVariation,TypeTokenRatio,VerbVariation,READABILITY_MEASURE_KINCAID,READABILITY_MEASURE_FOG,READABILITY_MEASURE_FLESH,Label
00003.txt,393,0.010178117,0.055979644,3.944736842,0.249363868,133.5,7.285714286,2.016928014,7,58.63171984,1909,28.07142857,0.427480916,5,10.73885328,9.210590034,7.903156757,0.505952381,0.376590331,0.577464789,9.578764479,12.51737452,73.45972973,ARA
00020.txt,213,0.014084507,0.093896714,3.514563107,0.286384977,132.8571429,8.714285714,1.594067142,9,69.278792,936,30.42857143,0.403755869,0,9.688888889,8.070925528,6.232851852,0.720930233,0.469483568,0.733333333,8.737883598,12.06984127,80.50619048,ARA
00025.txt,247,0.016194332,0.113360324,3.876033058,0.287449393,235,15.6,2.11281117,5,60.49132169,1194,49.4,0.457489879,99,20.54833333,12.79795897,7.432713675,0.451327434,0.348178138,0.37704918,17.23550427,21.45504274,54.84838462,ARA
00035.txt,168,0.005952381,0.06547619,3.83125,0.261904762,95.75,4.625,2.062225361,2,57.74025892,775,21,0.470238095,0,6.383223684,7.74341649,7.101092105,0.658227848,0.505952381,0.666666667,5.948947368,9.178947368,86.25263158,ARA
00044.txt,151,0.033112583,0.072847682,4.445205479,0.278145695,157,7.8,2.577645793,2,57.84461946,791,30.2,0.476821192,9,14.27291971,13.09950494,11.71521898,0.819444444,0.609271523,0.769230769,12.49454015,15.92350365,54.28531387,ARA
00057.txt,513,0.005847953,0.116959064,4.462962963,0.335282651,97.7037037,5.444444444,2.530811502,4,40.46106021,2669,19,0.483430799,6,8.872045364,9.666666667,11.27869165,0.608870968,0.411306043,0.683673469,7.503735427,10.34464272,72.07112221,ARA
00062.txt,496,0.030241935,0.108870968,4.291666667,0.29233871,157.25,8.125,2.229147196,5,77.722664,2540,31,0.475806452,8,13.76575991,10.11512474,10.47137004,0.466101695,0.344758065,0.476635514,11.09695485,13.72885463,66.04186399,ARA
00071.txt,331,0.024169184,0.078549849,3.778115502,0.268882175,523,30,1.852298688,4,236.9191142,1594,110.3333333,0.528700906,99,49.56989451,13.48808848,7.126237342,0.388571429,0.344410876,0.371428571,39.5678481,43.5257384,-1.009345992,ARA
00073.txt,368,0.013586957,0.070652174,4.501424501,0.301630435,112.7647059,5.470588235,2.740302398,4,49.20488906,1949,21.64705882,0.524456522,6,10.08894118,11.60916065,11.29384776,0.637305699,0.467391304,0.676056338,9.425443371,12.89727831,62.5851712,ARA
00089.txt,249,0.020080321,0.064257028,3.686440678,0.240963855,84.30769231,5.153846154,2.298485694,5,31.99130799,1136,19.15384615,0.429718876,0,5.01535357,9.263447073,6.544847534,0.607476636,0.429718876,0.549019608,6.021973094,9.910865816,82.44088651,ARA
00102.txt,349,0.020057307,0.071633238,4.241887906,0.283667622,176,8.9,2.343739034,4,80.18353946,1778,34.9,0.492836676,9,15.44084112,12.94987437,10.23700935,0.639534884,0.481375358,0.626506024,13.43429595,16.95214953,55.91892056,ARA
00107.txt,266,0.011278195,0.045112782,4.272727273,0.263157895,101.2307692,4.769230769,2.628651662,6,52.14942119,1362,20.46153846,0.436090226,6,8.498989108,10.44208408,10.75695133,0.74137931,0.530075188,0.727272727,8.315663717,11.20163376,66.4073145,ARA
00147.txt,332,0.027108434,0.11746988,3.92476489,0.262048193,119.3846154,7.307692308,2.142417084,5,38.42382767,1565,25.53846154,0.43373494,6,9.388061538,8.883484054,8.309603333,0.645833333,0.442771084,0.593023256,8.356666667,11.23076923,76.25192308,ARA
00149.txt,337,0.023738872,0.136498516,4.462025316,0.323442136,81.66666667,5.047619048,2.788166849,6,26.6946282,1794,16.04761905,0.459940653,0,7.111436455,9.094494002,10.8998245,0.677419355,0.474777448,0.707692308,6.155657521,9.196089562,76.54363135,ARA
00203.txt,339,0.014749263,0.076696165,4.119122257,0.283185841,80.75,4.3,2.52229765,5,40.25031056,1640,16.95,0.466076696,0,6.358953488,9.708203932,9.540498339,0.632911392,0.454277286,0.555555556,6.234981728,10.00671096,77.16655897,ARA
00214.txt,398,0.022613065,0.06281407,4.430446194,0.281407035,121.2941176,6.352941176,2.750999257,4,29.95833323,2083,23.41176471,0.48241206,8,10.84225302,12.10720465,11.13249041,0.661458333,0.464824121,0.597560976,10.20873489,13.73892023,60.11248993,ARA
00230.txt,254,0.027559055,0.078740157,4.004132231,0.255905512,101.5,5.666666667,2.08991663,5,44.45690797,1261,21.16666667,0.492125984,0,7.594544787,9.123724357,8.667991189,0.712,0.527559055,0.622641509,7.174284141,10.20983847,77.31916483,ARA
00233.txt,339,0.005899705,0.067846608,4.316923077,0.309734513,122.4285714,6.071428571,2.604349571,7,50.42067927,1728,24.21428571,0.489675516,6,10.73212205,12.141741,10.61908738,0.578313253,0.418879056,0.584615385,10.20232316,13.87711512,61.2286165,ARA
